flight_date,registration,hour,position_count,avg_altitude,min_altitude
2025-02-10,N622FB,23,1170,1762.0726495726495726,0
2025-02-11,N622FB,0,752,1821.7752659574468085,0
2025-02-11,N622FB,2,1294,1920.7109737248840804,0
2025-02-11,N621FB,3,530,2066.5566037735849057,0
2025-02-11,N622FB,3,1058,1980.3638941398865784,0
2025-02-11,N621FB,4,1463,1983.0485304169514696,1600
2025-02-11,N621FB,5,209,1885.4066985645933014,0
2025-02-11,N623FB,5,1346,2149.2013372956909361,0
2025-02-11,N622FB,23,652,2114.0720858895705521,0
2025-02-12,N622FB,0,540,2138.1944444444444444,0
2025-02-12,N622FB,2,740,2049.9324324324324324,0
2025-02-12,N622FB,3,990,2131.5151515151515152,0
2025-02-12,N623FB,3,545,2068.6238532110091743,0
2025-02-12,N623FB,4,1599,1924.5465916197623515,1725
2025-02-12,N622FB,5,1202,2350.3743760399334443,0
2025-02-12,N623FB,5,285,1979.0350877192982456,0
2025-02-12,N621FB,23,1278,2031.2989045383411581,0
2025-02-13,N621FB,0,957,1902.2204806687565308,0
2025-02-13,N621FB,1,742,1884.2654986522911051,0
2025-02-13,N621FB,2,205,2035.2439024390243902,0
2025-02-13,N621FB,3,1053,1894.8480531813865147,0
2025-02-13,N623FB,3,608,1773.2319078947368421,0
2025-02-13,N623FB,4,1602,1840.6523096129837703,1650
2025-02-13,N622FB,5,1244,1915.9364951768488746,0
2025-02-13,N623FB,5,470,1724.3617021276595745,0
2025-02-13,N624FB,22,2,662.5000000000000000,0
2025-02-13,N623FB,23,953,1835.0209863588667366,0
2025-02-14,N623FB,0,609,1813.1773399014778325,0
2025-02-14,N623FB,1,33,1656.8181818181818182,0
2025-02-14,N623FB,2,1292,1736.6679566563467492,1300
2025-02-14,N621FB,3,706,1810.8002832861189802,0
2025-02-14,N623FB,3,1459,1686.8060315284441398,0
2025-02-14,N621FB,4,1390,1813.2553956834532374,0
2025-02-14,N621FB,5,197,1825.0000000000000000,0
2025-02-14,N622FB,5,1369,1702.6479181884587290,0
2025-02-14,N622FB,23,1316,1808.7386018237082067,0
2025-02-15,N622FB,0,541,1989.4177449168207024,0
2025-02-15,N622FB,2,1026,1845.5653021442495127,0
2025-02-15,N621FB,3,577,1842.9809358752166378,0
2025-02-15,N622FB,3,1126,1842.7397868561278863,0
2025-02-15,N621FB,4,1541,1815.5905256327060350,1450
2025-02-15,N621FB,5,292,1936.2157534246575342,0
2025-02-15,N622FB,5,1100,1912.0227272727272727,0
2025-02-15,N622FB,23,1290,1725.3294573643410853,0
2025-02-16,N622FB,0,473,2069.9788583509513742,0
2025-02-16,N622FB,2,1378,2820.6458635703918723,0
2025-02-16,N622FB,3,992,2284.2993951612903226,0
2025-02-16,N623FB,3,587,1604.2589437819420784,0
2025-02-16,N623FB,4,1396,1627.0952722063037249,1175
