hour,registration,unique_flights,position_records,avg_altitude,min_altitude,low_altitude_count,hover_count,total_hover_seconds
2024-09-19 03:00:00+00,N621FB,1,481,1925.6237006237006237,0,9,0,0
2024-09-19 03:00:00+00,N622FB,1,607,2228.6655683690280066,1625,0,0,0
2024-09-19 04:00:00+00,N621FB,1,1058,1729.7967863894139887,1475,0,0,0
2024-09-19 05:00:00+00,N621FB,1,290,1745.5172413793103448,1525,0,0,0
2024-09-19 05:00:00+00,N622FB,1,1103,1899.7280145058930190,0,5,0,0
2024-09-19 06:00:00+00,N621FB,1,485,1923.3505154639175258,0,7,0,0
2024-09-19 06:00:00+00,N622FB,1,644,2062.2670807453416149,0,2,0,0
2024-09-19 07:00:00+00,N621FB,1,1128,1722.4069148936170213,1525,0,0,0
2024-09-19 08:00:00+00,N621FB,1,104,1985.0961538461538462,0,4,0,0
2024-09-19 08:00:00+00,N622FB,1,1019,2064.5240431795878312,0,7,0,0
2024-09-19 09:00:00+00,N622FB,1,919,1927.9651795429815016,0,4,0,0
2024-09-19 13:00:00+00,N625FB,1,402,1957.4626865671641791,0,11,0,0
2024-09-19 14:00:00+00,N625FB,1,591,1689.9746192893401015,0,3,0,0
2024-09-19 17:00:00+00,N625FB,1,32,1162.5000000000000000,0,12,0,0
2024-09-19 18:00:00+00,N625FB,1,1018,1866.2573673870333988,1475,0,0,0
2024-09-19 19:00:00+00,N625FB,1,395,1983.1645569620253165,0,3,0,0
2024-09-19 23:00:00+00,N622FB,1,863,1842.9606025492468134,0,3,0,0
2024-09-20 00:00:00+00,N622FB,1,980,2075.4591836734693878,0,3,0,0
2024-09-20 02:00:00+00,N622FB,1,885,1958.4180790960451977,0,5,0,0
2024-09-20 03:00:00+00,N621FB,1,492,1944.9186991869918699,0,5,0,0
2024-09-20 03:00:00+00,N622FB,1,656,2004.0015243902439024,0,2,0,0
2024-09-20 04:00:00+00,N621FB,1,1050,1894.4285714285714286,1625,0,0,0
2024-09-20 05:00:00+00,N621FB,1,259,2127.3166023166023166,0,3,0,0
2024-09-20 05:00:00+00,N622FB,1,1063,2336.6650987770460960,0,6,0,0
2024-09-20 06:00:00+00,N621FB,1,456,2248.0263157894736842,0,6,0,0
2024-09-20 06:00:00+00,N622FB,1,674,2073.4792284866468843,0,3,0,0
2024-09-20 07:00:00+00,N621FB,1,1001,1917.3326673326673327,1650,0,0,0
2024-09-20 08:00:00+00,N621FB,1,86,1928.1976744186046512,0,4,0,0
2024-09-20 08:00:00+00,N622FB,1,1002,1962.3752495009980040,0,7,0,0
2024-09-20 09:00:00+00,N622FB,1,953,2431.0860440713536201,0,3,0,0
2024-09-20 12:00:00+00,N621FB,1,806,1872.6736972704714640,0,7,0,0
2024-09-20 13:00:00+00,N621FB,1,131,2176.9083969465648855,1550,0,0,0
2024-09-20 17:00:00+00,N621FB,1,57,1754.3859649122807018,0,9,0,0
2024-09-20 18:00:00+00,N621FB,1,958,2050.9133611691022965,0,2,0,0
2024-09-20 19:00:00+00,N621FB,1,1,0.00000000000000000000,0,1,0,0
2024-09-20 23:00:00+00,N624FB,1,894,2280.1454138702460850,0,1,0,0
2024-09-21 00:00:00+00,N624FB,1,389,2241.1311053984575835,0,3,0,0
2024-09-21 02:00:00+00,N624FB,1,795,2040.2515723270440252,0,4,0,0
2024-09-21 03:00:00+00,N621FB,1,512,1998.2910156250000000,0,5,0,0
2024-09-21 03:00:00+00,N624FB,1,659,2118.8922610015174507,0,4,0,0
2024-09-21 04:00:00+00,N621FB,1,1091,2070.1649862511457379,1775,0,0,0
2024-09-21 05:00:00+00,N621FB,1,260,2059.8076923076923077,0,4,0,0
2024-09-21 05:00:00+00,N622FB,1,936,2065.3044871794871795,0,9,0,0
2024-09-21 06:00:00+00,N621FB,1,416,1928.0649038461538462,0,5,0,0
2024-09-21 06:00:00+00,N622FB,1,600,2114.4583333333333333,0,3,0,0
2024-09-21 07:00:00+00,N621FB,1,1068,1997.8230337078651685,1650,0,0,0
2024-09-21 08:00:00+00,N621FB,1,303,2075.4125412541254125,0,4,0,0
2024-09-21 08:00:00+00,N622FB,1,1018,2024.1895874263261297,0,11,0,0
2024-09-21 09:00:00+00,N622FB,1,575,2017.2608695652173913,0,7,0,0
2024-09-21 14:00:00+00,N624FB,1,55,1760.0000000000000000,0,7,0,0
2024-09-21 15:00:00+00,N624FB,1,953,1921.6684155299055614,1575,0,0,0
2024-09-21 16:00:00+00,N624FB,1,83,1895.4819277108433735,1525,0,0,0
2024-09-21 18:00:00+00,N624FB,1,977,1816.1719549641760491,0,9,0,0
2024-09-21 19:00:00+00,N624FB,1,275,1822.0000000000000000,0,1,0,0
2024-09-21 22:00:00+00,N625FB,1,1,0.00000000000000000000,0,1,0,0
2024-09-21 23:00:00+00,N625FB,1,1029,1960.4956268221574344,0,2,0,0
2024-09-22 00:00:00+00,N625FB,1,734,1899.0122615803814714,0,7,0,0
2024-09-22 01:00:00+00,N625FB,1,6,0.00000000000000000000,0,6,0,0
2024-09-22 02:00:00+00,N625FB,2,1034,1996.2524177949709865,0,3,0,0
2024-09-22 03:00:00+00,N623FB,1,475,1806.6315789473684211,0,6,0,0
2024-09-22 03:00:00+00,N625FB,1,671,2158.4202682563338301,0,1,0,0
2024-09-22 04:00:00+00,N622FB,1,2,0.00000000000000000000,0,2,0,0
2024-09-22 04:00:00+00,N623FB,1,1112,1813.1070143884892086,1550,0,0,0
2024-09-22 05:00:00+00,N622FB,1,1044,1932.9262452107279693,0,6,0,0
2024-09-22 05:00:00+00,N623FB,1,148,1862.1621621621621622,0,3,0,0
2024-09-22 06:00:00+00,N622FB,1,814,1930.4054054054054054,0,2,0,0
2024-09-22 06:00:00+00,N623FB,1,463,1697.0302375809935205,0,10,0,0
2024-09-22 07:00:00+00,N623FB,1,1010,1760.7178217821782178,1550,0,0,0
2024-09-22 08:00:00+00,N622FB,1,1039,1859.4802694898941290,0,11,0,0
2024-09-22 08:00:00+00,N623FB,1,151,1782.9470198675496689,0,3,0,0
2024-09-22 09:00:00+00,N622FB,1,989,1996.6632962588473205,1675,0,0,0
